Symbol,Date,Price,Signal,Profit
AAAP,5/12/2016,33.29,SHORT,139.7
AAAP,5/10/2016,33.92,BUY,142.91
AAAP,5/2/2016,34.4702,SHORT,141.23
AAAP,4/28/2016,35.01,BUY,144.02
AAAP,4/5/2016,34.9551,SELL,144.31
AAAP,3/30/2016,34.855,BUY,144.19
AAAP,3/28/2016,34.96,SELL,144.48
AAAP,3/15/2016,33.74,BUY,139.72
AAAP,3/10/2016,34.085,SELL,140
AAAP,2/10/2016,24.25,BUY,99.8
,,,,
AAL,4/25/2016,38.12,SHORT,273.13
AAL,4/12/2016,39.12,BUY,281.42
AAL,4/1/2016,40.09,SHORT,275.87
AAL,3/29/2016,41.2466,BUY,284.97
AAL,3/23/2016,42.01,SELL,285.54
AAL,3/11/2016,41.94,BUY,285.64
AAL,3/8/2016,41.25,SELL,286.21
AAL,2/10/2016,36.6099,BUY,254.52
AAL,2/5/2016,36.99,SHORT,252.94
AAL,2/1/2016,39.04,BUY,268.03
AAL,1/15/2016,39,SHORT,269.38
AAL,1/12/2016,41.2,BUY,285.72
AAL,12/31/2015,42.49,SELL,286.29
AAL,12/22/2015,42.6069,BUY,287.65
AAL,12/18/2015,41.5631,SHORT,296.24
AAL,12/16/2015,43.0369,BUY,307.98
AAL,12/9/2015,44.25,SELL,308.6
AAL,12/1/2015,42.35,BUY,295.94
AAL,10/28/2015,45.8661,SELL,296.53
AAL,10/5/2015,39.2225,BUY,254.09
AAL,9/21/2015,43.44,SELL,254.6
AAL,8/31/2015,38.89,BUY,228.39
AAL,8/20/2015,42.175,SELL,228.85
AAL,8/11/2015,41.9,BUY,227.81
AAL,8/7/2015,42.13,SELL,228.27
AAL,8/3/2015,41.3425,BUY,224.45
AAL,7/16/2015,41.76,SELL,224.9
AAL,6/18/2015,39.92,BUY,215.42
AAL,6/16/2015,40.03,SHORT,215.69
AAL,6/12/2015,40.515,BUY,219.18
AAL,6/3/2015,43.305,SHORT,206.74
AAL,5/29/2015,42.3475,BUY,202.98
AAL,5/20/2015,47.5,SHORT,183.85
AAL,5/18/2015,48.94,BUY,190.18
AAL,5/5/2015,48.16,SHORT,194.09
AAL,5/1/2015,48.7,BUY,197.05
AAL,4/28/2015,51.64,SELL,197.44
AAL,4/20/2015,48.79,BUY,186.92
AAL,4/1/2015,51.04,SELL,187.29
AAL,3/30/2015,53.3,BUY,195.98
AAL,3/24/2015,53.93,SELL,196.37
AAL,3/12/2015,47.62,BUY,173.74
AAL,3/5/2015,48.76,SELL,174.09
AAL,3/3/2015,48.5,BUY,173.51
AAL,2/26/2015,49.68,SELL,173.86
AAL,2/13/2015,48.1,BUY,168.67
AAL,2/5/2015,49.03,SHORT,166.19
AAL,1/20/2015,51.06,BUY,173.76
AAL,1/12/2015,51,SELL,174.11
AAL,12/26/2014,51.52,BUY,176.24
AAL,12/23/2014,50.78,SELL,176.59
AAL,12/15/2014,50.59,BUY,176.28
AAL,12/9/2014,49.05,SELL,176.63
AAL,11/26/2014,44.3602,BUY,160.06
AAL,11/17/2014,43.7802,SELL,160.38
AAL,10/15/2014,31.55,BUY,115.81
AAL,10/7/2014,34.71,SHORT,106.57
AAL,10/3/2014,35.97,BUY,110.88
AAL,9/22/2014,36.77,SHORT,108.95
AAL,9/18/2014,38.02,BUY,113.11
AAL,9/12/2014,38.05,SHORT,113.47
AAL,9/10/2014,38.27,BUY,114.58
AAL,8/25/2014,39.47,SELL,114.81
AAL,8/14/2014,38.54,BUY,112.33
AAL,7/22/2014,42.4301,SHORT,103.31
AAL,7/15/2014,43.38,BUY,106.05
AAL,6/30/2014,43.95,SELL,106.26
AAL,6/26/2014,44.01,BUY,106.62
AAL,6/24/2014,43.745,SELL,106.83
AAL,6/16/2014,40.785,BUY,99.8
,,,,
AAME,5/25/2016,3.3555,BUY,128.76
AAME,4/26/2016,4.54,SELL,129.02
AAME,4/20/2016,4.42,BUY,125.86
AAME,4/8/2016,4.668,SELL,126.11
AAME,3/30/2016,4.045,BUY,109.5
AAME,3/28/2016,3.925,SELL,109.72
AAME,3/1/2016,4.1801,BUY,117.09
AAME,2/12/2016,4.3549,SELL,117.32
AAME,1/22/2016,4.252,BUY,114.78
AAME,1/4/2016,4.8585,SELL,115.01
AAME,12/29/2015,4.7558,BUY,112.8
AAME,12/10/2015,4.875,SHORT,110.55
AAME,12/8/2015,4.835,BUY,110.08
AAME,11/20/2015,4.865,SELL,110.3
AAME,11/17/2015,4.9,BUY,111.32
AAME,11/11/2015,4.86,SELL,111.54
AAME,10/27/2015,4.2899,BUY,98.65
AAME,10/22/2015,4.2551,SELL,98.85
AAME,10/13/2015,4.23,BUY,98.46
AAME,10/7/2015,4.015,SELL,98.66
AAME,9/22/2015,3.715,BUY,91.47
AAME,9/16/2015,3.445,SHORT,99.65
AAME,9/10/2015,3.565,BUY,103.54
AAME,8/12/2015,3.664,SELL,103.75
AAME,7/28/2015,3.6595,BUY,103.83
AAME,7/23/2015,3.667,SELL,104.04
AAME,7/16/2015,3.7,BUY,105.19
AAME,6/10/2015,3.766,SELL,105.4
AAME,5/29/2015,3.394,BUY,95.18
AAME,5/12/2015,3.8801,SHORT,84.92
AAME,4/9/2015,3.985,BUY,87.57
AAME,4/7/2015,3.955,SHORT,88.59
AAME,3/30/2015,4.025,BUY,90.52
AAME,3/25/2015,3.9851,SELL,90.7
AAME,3/9/2015,4,BUY,91.22
AAME,3/4/2015,3.981,SELL,91.4
AAME,2/18/2015,3.9899,BUY,91.79
AAME,1/6/2015,3.9449,SELL,91.97
AAME,11/28/2014,3.8244,BUY,89.34
AAME,11/21/2014,3.8411,SELL,89.52
AAME,11/11/2014,3.7902,BUY,88.51
AAME,10/23/2014,3.8638,SELL,88.69
AAME,10/15/2014,3.903,BUY,89.77
AAME,10/13/2014,3.933,SELL,89.95
AAME,9/26/2014,3.8042,BUY,87.18
AAME,9/19/2014,3.8549,SHORT,86.39
AAME,9/17/2014,3.9447,BUY,88.76
AAME,9/11/2014,3.9892,SHORT,88.13
AAME,9/5/2014,4.0441,BUY,89.7
AAME,8/26/2014,4.1042,SELL,89.88
AAME,8/14/2014,4.1982,BUY,92.12
AAME,8/12/2014,4.1585,SELL,92.3
AAME,8/7/2014,4.1286,BUY,91.82
AAME,8/4/2014,4.0392,SELL,92
AAME,7/28/2014,4.0217,BUY,91.78
AAME,7/23/2014,3.8461,SHORT,96.56
AAME,7/18/2014,3.9594,BUY,99.8
,,,,
AAOI,5/23/2016,9.2,BUY,423.02
AAOI,5/19/2016,9.22,SHORT,423.8
AAOI,5/13/2016,9.15,BUY,422.27
AAOI,4/19/2016,12.7217,SELL,423.12
AAOI,4/14/2016,16.1183,BUY,537.16
AAOI,3/23/2016,16.14,SELL,538.24
AAOI,3/11/2016,17.56,BUY,586.77
AAOI,3/7/2016,18.12,SELL,587.95
AAOI,2/26/2016,17.0199,BUY,553.36
AAOI,2/19/2016,16.081,SELL,554.47
AAOI,2/17/2016,16.189,BUY,559.31
AAOI,2/2/2016,15.63,SELL,560.43
AAOI,1/21/2016,12.51,BUY,449.46
AAOI,12/31/2015,17.7,SELL,450.36
AAOI,12/23/2015,17.01,BUY,433.67
AAOI,12/3/2015,18.19,SELL,434.54
AAOI,11/20/2015,17.41,BUY,416.74
AAOI,11/18/2015,16.66,SHORT,438.14
AAOI,11/16/2015,16.69,BUY,440.69
AAOI,11/2/2015,20.38,SELL,441.57
AAOI,10/22/2015,18.265,BUY,396.54
AAOI,10/19/2015,18.14,SHORT,400.89
AAOI,10/15/2015,17.8,BUY,394.95
AAOI,10/12/2015,19.55,SELL,395.74
AAOI,10/5/2015,18.8,BUY,381.32
AAOI,9/22/2015,19.37,SHORT,371.91
AAOI,9/16/2015,19.47,BUY,375.33
AAOI,9/11/2015,20.74,SHORT,355.09
AAOI,9/3/2015,20.51,BUY,352.56
AAOI,9/1/2015,20.11,SELL,353.27
AAOI,8/27/2015,19.82,BUY,348.87
AAOI,8/17/2015,21.89,SELL,349.57
AAOI,7/31/2015,18.58,BUY,297.31
AAOI,7/15/2015,19.59,SELL,297.91
AAOI,7/10/2015,16.57,BUY,252.49
AAOI,7/8/2015,17.03,SHORT,246.84
AAOI,7/1/2015,17.965,BUY,261.44
AAOI,6/19/2015,18.62,SELL,261.96
AAOI,6/10/2015,18.229,BUY,256.97
AAOI,5/28/2015,18.225,SELL,257.48
AAOI,5/18/2015,14.785,BUY,209.3
AAOI,5/13/2015,14.765,SELL,209.72
AAOI,5/7/2015,13.686,BUY,194.78
AAOI,4/30/2015,14.714,SELL,195.17
AAOI,4/16/2015,13.65,BUY,181.42
AAOI,4/13/2015,13.43,SELL,181.78
AAOI,4/9/2015,13.465,BUY,182.62
AAOI,3/26/2015,13.69,SELL,182.99
AAOI,3/23/2015,13.87,BUY,185.77
AAOI,3/4/2015,12.88,SELL,186.14
AAOI,2/4/2015,9.04,BUY,130.91
AAOI,1/13/2015,9.6926,SHORT,123.14
AAOI,1/9/2015,10.11,BUY,128.96
AAOI,1/5/2015,10.73,SELL,129.22
AAOI,12/29/2014,10.82,BUY,130.57
AAOI,12/22/2014,10.477,SHORT,135.53
AAOI,12/17/2014,9.793,BUY,127.19
AAOI,12/12/2014,9.8,SHORT,127.61
AAOI,12/9/2014,10.16,BUY,132.83
AAOI,11/11/2014,12.98,SELL,133.1
AAOI,10/15/2014,13.41,BUY,137.78
AAOI,9/2/2014,21.17,SELL,138.06
AAOI,8/27/2014,19.62,BUY,128.21
AAOI,8/22/2014,19.25,SELL,128.47
AAOI,8/15/2014,18.27,BUY,122.17
AAOI,7/24/2014,21.325,SHORT,107.29
AAOI,7/21/2014,21.8033,BUY,110.14
AAOI,7/16/2014,22.94,SELL,110.36
AAOI,6/30/2014,23.005,BUY,110.89
AAOI,6/23/2014,23.06,SELL,111.11
AAOI,6/5/2014,20.45,BUY,98.73
AAOI,6/2/2014,21.034,SELL,98.93
AAOI,5/29/2014,21.176,BUY,99.8
,,,,
AAON,5/24/2016,27.88,BUY,268.92
AAON,5/19/2016,26.99,SELL,269.46
AAON,5/16/2016,27.88,BUY,278.9
AAON,5/11/2016,27.76,SELL,279.46
AAON,5/6/2016,27.86,BUY,281.03
AAON,5/3/2016,26.473,SHORT,297.76
AAON,4/27/2016,27.08,BUY,305.81
AAON,4/25/2016,26.86,SELL,306.42
AAON,4/13/2016,26.775,BUY,306.06
AAON,4/5/2016,26.97,SELL,306.67
AAON,3/31/2016,27.86,BUY,317.43
AAON,3/23/2016,26.96,SELL,318.07
AAON,3/14/2016,25.385,BUY,300.09
AAON,3/9/2016,25.36,SELL,300.69
AAON,2/22/2016,21.165,BUY,251.45
AAON,2/2/2016,20.9538,SHORT,255.03
AAON,1/21/2016,19.95,BUY,243.79
AAON,12/31/2015,23.495,SHORT,212.68
AAON,12/22/2015,22.93,BUY,208.4
AAON,12/1/2015,24.68,SELL,208.82
AAON,11/25/2015,24.77,BUY,210
AAON,11/13/2015,23.96,SELL,210.42
AAON,11/2/2015,21.3,BUY,187.43
AAON,10/27/2015,21.075,SELL,187.81
AAON,10/23/2015,21.4,BUY,191.09
AAON,10/21/2015,21.09,SELL,191.47
AAON,10/16/2015,21.17,BUY,192.58
AAON,10/13/2015,20.87,SELL,192.97
AAON,10/2/2015,19.475,BUY,180.43
AAON,9/18/2015,20.14,SHORT,175.36
AAON,9/11/2015,19.855,BUY,173.57
AAON,9/1/2015,20.17,SHORT,171.59
AAON,8/27/2015,20.475,BUY,174.88
AAON,8/19/2015,22.97,SELL,175.23
AAON,8/6/2015,21.885,BUY,167.29
AAON,7/23/2015,22.6,SHORT,162.81
AAON,7/17/2015,22.73,BUY,164.4
AAON,7/15/2015,22.865,SHORT,164.09
AAON,7/13/2015,22.78,BUY,164.14
AAON,6/15/2015,23.655,SELL,164.47
AAON,6/3/2015,24.005,BUY,167.24
AAON,5/29/2015,23.98,SELL,167.58
AAON,5/19/2015,23.594,BUY,165.21
AAON,5/15/2015,23.265,SHORT,168.25
AAON,5/13/2015,22.975,BUY,166.82
AAON,5/8/2015,23.08,SHORT,166.73
AAON,5/4/2015,24.22,BUY,175.67
AAON,4/27/2015,24.63,SELL,176.02
AAON,4/22/2015,24.39,BUY,174.65
AAON,4/17/2015,23.975,SELL,175
AAON,4/10/2015,23.705,BUY,173.38
AAON,4/1/2015,24.285,SELL,173.73
AAON,3/12/2015,22.08,BUY,158.27
AAON,2/26/2015,23.58,SELL,158.59
AAON,2/19/2015,23.28,BUY,156.89
AAON,2/17/2015,23.24,SELL,157.2
AAON,2/11/2015,22.9,BUY,155.21
AAON,2/6/2015,23.23,SELL,155.52
AAON,2/3/2015,22.59,BUY,151.54
AAON,1/30/2015,22.2,SELL,151.84
AAON,1/21/2015,21.6,BUY,148.03
AAON,1/15/2015,21.32,SELL,148.33
AAON,1/8/2015,21.165,BUY,147.55
AAON,12/29/2014,22.3,SELL,147.85
AAON,12/17/2014,21.235,BUY,141.07
AAON,12/12/2014,20.95,SELL,141.35
AAON,12/3/2014,20.78,BUY,140.48
AAON,12/1/2014,20.69,SELL,140.76
AAON,11/24/2014,20.67,BUY,140.91
AAON,11/14/2014,21.086,SELL,141.19
AAON,10/14/2014,17.45,BUY,117.08
AAON,10/6/2014,17.69,SHORT,115.98
AAON,10/2/2014,17.34,BUY,114.14
AAON,9/22/2014,18.18,SHORT,109.54
AAON,9/18/2014,18.53,BUY,112.1
AAON,9/9/2014,18.95,SELL,112.32
AAON,9/4/2014,18.58,BUY,110.35
AAON,9/2/2014,18.44,SHORT,111.64
AAON,8/27/2014,18.74,BUY,113.91
AAON,8/20/2014,18.93,SHORT,113.23
AAON,8/18/2014,18.8,BUY,112.9
AAON,8/6/2014,19.64,SHORT,108.7
AAON,8/4/2014,19.82,BUY,110.14
AAON,7/24/2014,21.145,SHORT,104.06
AAON,7/22/2014,21.346,BUY,105.47
AAON,7/7/2014,22.5133,SELL,105.68
AAON,6/27/2014,21.9999,BUY,103.48
AAON,6/23/2014,22.06,SELL,103.69
AAON,6/17/2014,21.5267,BUY,101.39
AAON,6/10/2014,22.1067,SELL,101.59
AAON,6/6/2014,21.6733,BUY,99.8
,,,,
AAPL,5/18/2016,94.27,BUY,129.46
AAPL,5/12/2016,92.4,SHORT,132.66
AAPL,5/10/2016,93.42,BUY,134.66
AAPL,5/5/2016,93.9,SHORT,134.51
AAPL,5/3/2016,94.31,BUY,135.64
AAPL,4/18/2016,108.78,SELL,135.91
AAPL,4/12/2016,109.46,BUY,137.03
AAPL,4/7/2016,108.88,SELL,137.3
AAPL,3/29/2016,106.61,BUY,134.71
AAPL,3/21/2016,105.91,SELL,134.98
AAPL,2/25/2016,96.2,BUY,122.85
AAPL,2/23/2016,96.16,SHORT,123.39
AAPL,2/17/2016,96.78,BUY,124.68
AAPL,2/11/2016,93.7,SHORT,129.44
AAPL,2/4/2016,96.48,BUY,133.82
AAPL,2/2/2016,95.3003,SHORT,136.04
AAPL,1/29/2016,94.89,BUY,136
AAPL,1/27/2016,95.94,SHORT,135.07
AAPL,1/26/2016,99.99,BUY,141.34
AAPL,1/21/2016,96.56,SHORT,147.13
AAPL,1/14/2016,98.06,BUY,150.01
AAPL,12/31/2015,106.9,SHORT,139.11
AAPL,12/23/2015,107.59,BUY,140.57
AAPL,12/9/2015,117.04,SELL,140.85
AAPL,12/4/2015,119.03,BUY,143.53
AAPL,11/23/2015,118.86,SELL,143.82
AAPL,11/18/2015,115.89,BUY,140.51
AAPL,11/10/2015,116.77,SELL,140.79
AAPL,10/29/2015,118.84,BUY,143.57
AAPL,10/27/2015,115.16,SELL,143.86
AAPL,10/20/2015,111.86,BUY,140.02
AAPL,10/14/2015,110.75,SHORT,142
AAPL,10/13/2015,111.79,BUY,143.91
AAPL,10/8/2015,110.08,SHORT,146.77
AAPL,9/11/2015,112.69,BUY,150.85
AAPL,9/9/2015,110.25,SHORT,154.88
AAPL,8/27/2015,112.345,BUY,158.46
AAPL,8/19/2015,115.98,SHORT,154.26
AAPL,8/17/2015,116.2,BUY,155.17
AAPL,7/21/2015,131.36,SELL,155.48
AAPL,7/13/2015,125.16,BUY,148.44
AAPL,6/26/2015,127.3708,SHORT,146.49
AAPL,6/24/2015,127.66,BUY,147.41
AAPL,5/29/2015,131.0425,SELL,147.71
AAPL,5/18/2015,129.09,BUY,145.8
AAPL,4/29/2015,130.02,SELL,146.09
AAPL,4/6/2015,126.5,BUY,142.42
AAPL,3/20/2015,127.365,SHORT,142.03
AAPL,3/16/2015,124.58,BUY,139.48
AAPL,3/6/2015,128.11,SELL,139.76
AAPL,3/3/2015,129.36,BUY,141.41
AAPL,2/25/2015,131.375,SELL,141.69
AAPL,2/10/2015,120.3,BUY,130.01
AAPL,2/6/2015,119.62,SELL,130.27
AAPL,1/29/2015,116.44,BUY,127.06
AAPL,1/27/2015,111.21,SELL,127.31
AAPL,1/21/2015,109.07,BUY,125.11
AAPL,1/12/2015,111.89,SHORT,122.52
AAPL,1/7/2015,107.38,BUY,118.05
AAPL,12/30/2014,112.52,SHORT,113.35
AAPL,12/29/2014,113.91,BUY,115.21
AAPL,12/24/2014,112.42,SHORT,117.23
AAPL,12/17/2014,108.5625,BUY,113.66
AAPL,12/1/2014,117.48,SELL,113.89
AAPL,10/22/2014,102.97,BUY,100.02
AAPL,10/14/2014,99.68,SHORT,103.85
AAPL,10/8/2014,100.03,BUY,104.63
AAPL,9/25/2014,100.41,SELL,104.84
AAPL,9/11/2014,101.11,BUY,105.78
AAPL,9/3/2014,100.789,SELL,105.99
AAPL,8/20/2014,100.57,BUY,105.97
AAPL,7/30/2014,98.28,SELL,106.18
AAPL,7/22/2014,94.72,BUY,102.54
AAPL,7/16/2014,95.22,SELL,102.75
AAPL,6/30/2014,92.3,BUY,99.8
,,,,
AAWW,5/20/2016,43.45,BUY,296.55
AAWW,5/13/2016,44.68,SELL,297.14
AAWW,5/10/2016,46.27,BUY,308.33
AAWW,4/29/2016,40.58,SELL,308.95
AAWW,4/27/2016,41.07,BUY,313.31
AAWW,4/21/2016,40.65,SELL,313.94
AAWW,4/13/2016,39.29,BUY,304.04
AAWW,4/1/2016,41.75,SELL,304.65
AAWW,3/29/2016,40.8,BUY,298.31
AAWW,3/23/2016,41.34,SELL,298.91
AAWW,3/17/2016,39.86,BUY,288.79
AAWW,3/15/2016,39.22,SELL,289.37
AAWW,2/26/2016,36.62,BUY,270.73
AAWW,2/18/2016,37.695,SELL,271.27
AAWW,2/5/2016,35.455,BUY,255.66
AAWW,2/2/2016,35.695,SHORT,254.97
AAWW,1/29/2016,35.92,BUY,257.61
AAWW,1/25/2016,35.88,SHORT,258.93
AAWW,1/19/2016,34.44,BUY,249.54
AAWW,12/29/2015,42.38,SELL,250.04
AAWW,12/10/2015,39.45,BUY,233.22
AAWW,12/2/2015,40.76,SELL,233.69
AAWW,11/16/2015,39.475,BUY,226.78
AAWW,11/5/2015,42.13,SELL,227.23
AAWW,10/29/2015,40.355,BUY,218.09
AAWW,10/21/2015,40.26,SELL,218.53
AAWW,10/15/2015,40.68,BUY,221.25
AAWW,10/13/2015,40.72,SELL,221.69
AAWW,10/5/2015,36.32,BUY,198.13
AAWW,9/14/2015,39.155,SHORT,185.49
AAWW,9/10/2015,39.435,BUY,187.57
AAWW,9/1/2015,40.33,SHORT,184.23
AAWW,8/27/2015,40.245,BUY,184.58
AAWW,8/20/2015,43.42,SHORT,172.69
AAWW,8/17/2015,45.11,BUY,180.13
AAWW,8/4/2015,48.61,SHORT,168.71
AAWW,7/28/2015,49.07,BUY,170.99
AAWW,6/29/2015,55.96,SELL,171.33
AAWW,6/22/2015,55.3,BUY,169.65
AAWW,6/15/2015,54.43,SHORT,173.1
AAWW,6/11/2015,55.17,BUY,176.16
AAWW,6/8/2015,54.64,SHORT,178.6
AAWW,6/3/2015,55.61,BUY,182.5
AAWW,5/21/2015,58.09,SELL,182.87
AAWW,4/29/2015,43.598,BUY,137.52
AAWW,4/17/2015,44.08,SHORT,136.58
AAWW,4/10/2015,43.24,BUY,134.51
AAWW,4/2/2015,43.43,SHORT,134.46
AAWW,3/30/2015,44.7068,BUY,138.97
AAWW,3/26/2015,46.2932,SELL,139.25
AAWW,3/9/2015,46.35,BUY,139.7
AAWW,2/18/2015,48.01,SELL,139.98
AAWW,2/3/2015,46.55,BUY,136
AAWW,1/28/2015,46.67,SHORT,136.2
AAWW,1/8/2015,46.87,BUY,137.33
AAWW,1/2/2015,48.875,SELL,137.61
AAWW,12/19/2014,46.38,BUY,130.85
AAWW,12/15/2014,46.57,SELL,131.11
AAWW,12/11/2014,47.05,BUY,132.73
AAWW,12/5/2014,47.04,SELL,133
AAWW,12/3/2014,46.56,BUY,131.91
AAWW,12/1/2014,44.71,SELL,132.17
AAWW,11/7/2014,41.49,BUY,122.9
AAWW,11/5/2014,37.135,SELL,123.15
AAWW,10/15/2014,32.228,BUY,107.09
AAWW,10/10/2014,31.968,SHORT,108.4
AAWW,10/3/2014,32.34,BUY,110.1
AAWW,9/16/2014,35.66,SELL,110.32
AAWW,8/21/2014,33.81,BUY,104.81
AAWW,8/13/2014,33.49,SHORT,106.25
AAWW,8/8/2014,32.42,BUY,103.27
AAWW,8/1/2014,34.21,SHORT,98.53
AAWW,7/30/2014,35.34,BUY,102.19
AAWW,7/7/2014,37.44,SELL,102.39
AAWW,6/24/2014,36.34,BUY,99.58
AAWW,6/11/2014,38.22,SELL,99.78
AAWW,6/6/2014,37.85,BUY,99.01
AAWW,5/30/2014,36.775,SELL,99.21
AAWW,5/27/2014,36.92,BUY,99.8
,,,,
AAXJ,5/25/2016,52.42,BUY,107.47
AAXJ,5/12/2016,52.039,SHORT,108.7
AAXJ,5/10/2016,52.46,BUY,110.02
AAXJ,4/25/2016,54.81,SELL,110.24
AAXJ,4/19/2016,55.84,BUY,112.54
AAXJ,4/14/2016,55.42,SELL,112.77
AAXJ,4/12/2016,54.05,BUY,110.2
AAXJ,3/31/2016,54.795,SELL,110.42
AAXJ,3/16/2016,53.13,BUY,107.28
AAXJ,3/8/2016,51.77,SELL,107.49
AAXJ,3/1/2016,50.25,BUY,104.54
AAXJ,2/18/2016,49.31,SELL,104.75
AAXJ,2/16/2016,48.63,BUY,103.51
AAXJ,2/8/2016,48.04,SELL,103.72
AAXJ,1/29/2016,49.23,BUY,106.5
AAXJ,12/29/2015,54.21,SHORT,97.93
AAXJ,12/23/2015,54.33,BUY,98.54
AAXJ,12/17/2015,54.46,SHORT,98.7
AAXJ,12/15/2015,53.65,BUY,97.62
AAXJ,12/3/2015,55.4037,SHORT,95
AAXJ,12/1/2015,55.81,BUY,96.08
AAXJ,11/27/2015,55.23,SHORT,97.49
AAXJ,11/18/2015,55.43,BUY,98.24
AAXJ,11/10/2015,55.55,SELL,98.44
AAXJ,11/3/2015,57.3,BUY,101.74
AAXJ,10/21/2015,57.5,SELL,101.94
AAXJ,10/5/2015,54.8,BUY,97.35
AAXJ,9/23/2015,52.9,SELL,97.55
AAXJ,9/10/2015,53.355,BUY,98.59
AAXJ,9/1/2015,51.95,SHORT,101.74
AAXJ,8/27/2015,53.41,BUY,105.02
AAXJ,8/13/2015,56.9,SHORT,99.35
AAXJ,8/10/2015,58.65,BUY,102.82
AAXJ,8/3/2015,58.54,SHORT,103.43
AAXJ,7/28/2015,59.115,BUY,104.86
AAXJ,6/25/2015,64.76,SHORT,96.84
AAXJ,6/12/2015,64.66,BUY,97.08
AAXJ,4/30/2015,68.34,SELL,97.27
AAXJ,4/9/2015,67.82,BUY,96.72
AAXJ,4/7/2015,65.655,SELL,96.91
AAXJ,3/31/2015,64,BUY,94.66
AAXJ,3/25/2015,63.695,SELL,94.85
AAXJ,3/17/2015,62.32,BUY,92.99
AAXJ,3/6/2015,62.89,SHORT,92.52
AAXJ,2/18/2015,63.5,BUY,93.79
AAXJ,2/9/2015,62.58,SELL,93.98
AAXJ,2/3/2015,63.245,BUY,95.17
AAXJ,1/28/2015,63.525,SELL,95.36
AAXJ,1/8/2015,61.03,BUY,91.8
AAXJ,1/6/2015,59.54,SHORT,94.53
AAXJ,12/26/2014,61.02,BUY,97.27
AAXJ,12/23/2014,60.4645,SHORT,98.57
AAXJ,12/18/2014,59.78,BUY,97.85
AAXJ,12/1/2014,62.05,SELL,98.05
AAXJ,11/24/2014,62.62,BUY,99.15
AAXJ,11/17/2014,62.17,SELL,99.35
AAXJ,11/11/2014,62.28,BUY,99.73
AAXJ,11/3/2014,62.66,SELL,99.93
AAXJ,10/28/2014,61.89,BUY,98.9
AAXJ,10/22/2014,61.19,SHORT,100.45
AAXJ,10/20/2014,60.67,BUY,100
AAXJ,9/9/2014,65.78,SELL,100.2
AAXJ,9/5/2014,66.3,BUY,101.19
AAXJ,8/29/2014,65.72,SELL,101.39
AAXJ,8/11/2014,64.81,BUY,100.19
AAXJ,7/31/2014,65.46,SELL,100.39
AAXJ,7/22/2014,64.78,BUY,99.55
AAXJ,7/15/2014,63.825,SELL,99.75
AAXJ,7/1/2014,63.07,BUY,98.77
AAXJ,6/20/2014,62.534,SELL,98.97
AAXJ,6/18/2014,62.93,BUY,99.8
,,,,
ABAC,5/26/2016,0.6665,SELL,978.82
ABAC,5/20/2016,0.631,BUY,928.54
ABAC,4/28/2016,0.6866,SELL,930.4
ABAC,4/18/2016,0.617,BUY,837.76
ABAC,3/29/2016,0.699,SELL,839.44
ABAC,3/17/2016,0.661,BUY,795.4
ABAC,3/7/2016,0.6093,SELL,796.99
ABAC,3/1/2016,0.6093,BUY,798.59
ABAC,2/24/2016,0.613,SHORT,796.98
ABAC,2/22/2016,0.6472,BUY,844.82
ABAC,2/11/2016,0.709,SHORT,780.2
ABAC,2/5/2016,0.611,BUY,675.06
ABAC,1/15/2016,0.799,SHORT,548.67
ABAC,1/12/2016,0.9301,BUY,641.26
ABAC,12/14/2015,1.0576,SELL,642.55
ABAC,12/3/2015,0.791,BUY,481.54
ABAC,12/1/2015,0.6616,SELL,482.5
ABAC,11/20/2015,0.6409,BUY,468.34
ABAC,11/10/2015,0.664,SELL,469.28
ABAC,10/29/2015,0.6207,BUY,439.56
ABAC,10/21/2015,0.643,SELL,440.44
ABAC,10/15/2015,0.531,BUY,364.45
ABAC,10/12/2015,0.509,SHORT,382.44
ABAC,10/7/2015,0.501,BUY,377.94
ABAC,9/1/2015,0.7488,SHORT,285.11
ABAC,8/27/2015,0.7692,BUY,294.05
ABAC,8/11/2015,0.999,SHORT,240.02
ABAC,8/5/2015,1.0924,BUY,263.51
ABAC,7/29/2015,1.1586,SELL,264.04
ABAC,7/17/2015,1.1015,BUY,251.53
ABAC,6/24/2015,1.3972,SHORT,208.43
ABAC,6/16/2015,1.415,BUY,211.93
ABAC,6/11/2015,1.528,SHORT,198.13
ABAC,6/2/2015,1.6369,BUY,213.1
ABAC,5/26/2015,1.6184,SELL,213.53
ABAC,5/13/2015,1.6518,BUY,218.37
ABAC,4/30/2015,1.6981,SELL,218.81
ABAC,4/27/2015,1.7221,BUY,222.35
ABAC,4/13/2015,1.6786,SELL,222.8
ABAC,3/27/2015,1.5233,BUY,202.59
ABAC,3/23/2015,1.5267,SHORT,202.95
ABAC,3/13/2015,1.542,BUY,205.81
ABAC,2/27/2015,1.4945,SELL,206.22
ABAC,2/17/2015,1.6288,BUY,225.2
ABAC,2/10/2015,1.6704,SELL,225.65
ABAC,1/16/2015,1.454,BUY,196.81
ABAC,1/6/2015,1.7746,SHORT,167.36
ABAC,12/30/2014,1.8838,BUY,178.37
ABAC,12/8/2014,2.021,SHORT,167.7
ABAC,12/2/2014,2.0349,BUY,169.53
ABAC,11/19/2014,2.2699,SELL,169.87
ABAC,10/16/2014,2.0964,BUY,157.2
ABAC,10/13/2014,2.0718,SELL,157.52
